block,method,num_agents,obs_radius,seed,isr,csr,makespan
main,A* Only,16,5,90002,1.0,1.0,64
main,A* Only,16,5,90003,0.875,0.0,
main,A* Only,16,5,90004,1.0,1.0,161
main,A* Only,16,5,90005,1.0,1.0,97
main,A* Only,16,5,90006,1.0,1.0,85
main,A* Only,16,5,90007,1.0,1.0,42
main,A* Only,16,5,90008,1.0,1.0,92
main,A* Only,16,5,90009,1.0,1.0,102
main,A* Only,16,5,90010,1.0,1.0,140
main,A* Only,16,5,90011,0.875,0.0,
main,A* Only,16,5,90012,1.0,1.0,134
main,A* Only,16,5,90013,1.0,1.0,82
main,A* Only,16,5,90014,0.8125,0.0,
main,A* Only,16,5,90015,0.875,0.0,
main,A* Only,16,5,90016,0.8125,0.0,
main,A* Only,16,5,90017,1.0,1.0,83
main,A* Only,16,5,90018,1.0,1.0,82
main,A* Only,16,5,90019,1.0,1.0,135
main,A* Only,16,5,90020,1.0,1.0,72
main,A* Only,16,5,90021,0.875,0.0,
main,A* Only,16,5,90022,1.0,1.0,47
main,A* Only,16,5,90023,1.0,1.0,67
main,A* Only,16,5,90024,1.0,1.0,84
main,A* Only,16,5,90025,1.0,1.0,76
main,A* Only,16,5,90026,0.875,0.0,
main,A* Only,16,5,90027,1.0,1.0,55
main,A* Only,16,5,90028,1.0,1.0,101
main,A* Only,16,5,90029,0.875,0.0,
main,A* Only,16,5,90030,0.875,0.0,
main,A* Only,16,5,90031,1.0,1.0,59
main,A* Only,16,5,90032,1.0,1.0,71
main,A* Only,16,5,90033,0.875,0.0,
main,A* Only,16,5,90034,1.0,1.0,95
main,A* Only,16,5,90035,1.0,1.0,121
main,A* Only,16,5,90036,1.0,1.0,128
main,A* Only,16,5,90037,1.0,1.0,256
main,A* Only,16,5,90038,1.0,1.0,70
main,A* Only,16,5,90039,1.0,1.0,107
main,A* Only,16,5,90040,0.875,0.0,
main,A* Only,16,5,90041,0.875,0.0,
main,A* Only,16,5,90042,0.875,0.0,
main,A* Only,16,5,90043,1.0,1.0,70
main,A* Only,16,5,90044,1.0,1.0,92
main,A* Only,16,5,90045,0.875,0.0,
main,A* Only,16,5,90046,1.0,1.0,52
main,A* Only,16,5,90047,1.0,1.0,146
main,A* Only,16,5,90048,1.0,1.0,92
main,A* Only,16,5,90049,0.75,0.0,
main,A* Only,16,5,90050,0.875,0.0,
main,A* Only,16,5,90051,1.0,1.0,104
main,A* Only,16,5,90052,1.0,1.0,73
main,A* Only,16,5,90053,1.0,1.0,85
main,A* Only,16,5,90054,1.0,1.0,64
main,A* Only,16,5,90055,0.875,0.0,
